Designator,Mid X,Mid Y,Layer,Rotation
D121,138.50mm,-103.20mm,Bottom,180
D122,138.50mm,-108.20mm,Bottom,180
D123,138.50mm,-113.20mm,Bottom,180
D124,138.50mm,-118.20mm,Bottom,180
D125,138.50mm,-123.20mm,Bottom,180
D126,138.50mm,-128.20mm,Bottom,180
D127,138.50mm,-133.20mm,Bottom,180
D128,138.50mm,-138.20mm,Bottom,180
D129,143.50mm,-63.20mm,Bottom,180
D130,143.50mm,-68.20mm,Bottom,180
D131,143.50mm,-73.20mm,Bottom,180
D132,143.50mm,-78.20mm,Bottom,180
D133,143.50mm,-83.20mm,Bottom,180
D134,143.50mm,-88.20mm,Bottom,180
D135,143.50mm,-93.20mm,Bottom,180
D136,143.50mm,-98.20mm,Bottom,180
D137,143.50mm,-103.20mm,Bottom,180
D138,143.50mm,-108.20mm,Bottom,180
D139,143.50mm,-113.20mm,Bottom,180
D140,143.50mm,-118.20mm,Bottom,180
D141,143.50mm,-123.20mm,Bottom,180
D142,143.50mm,-128.20mm,Bottom,180
D143,143.50mm,-133.20mm,Bottom,180
D144,143.50mm,-138.20mm,Bottom,180
D145,148.50mm,-63.20mm,Bottom,180
D146,148.50mm,-68.20mm,Bottom,180
D147,148.50mm,-73.20mm,Bottom,180
D148,148.50mm,-78.20mm,Bottom,180
D149,148.50mm,-83.20mm,Bottom,180
D150,148.50mm,-88.20mm,Bottom,180
D151,148.50mm,-93.20mm,Bottom,180
D152,148.50mm,-98.20mm,Bottom,180
D153,148.50mm,-103.20mm,Bottom,180
D154,148.50mm,-108.20mm,Bottom,180
D155,148.50mm,-113.20mm,Bottom,180
D156,148.50mm,-118.20mm,Bottom,180
D157,148.50mm,-123.20mm,Bottom,180
D158,148.50mm,-128.20mm,Bottom,180
D159,148.50mm,-133.20mm,Bottom,180
D160,148.50mm,-138.20mm,Bottom,180
D161,153.50mm,-63.20mm,Bottom,180
D162,153.50mm,-68.20mm,Bottom,180
D163,153.50mm,-73.20mm,Bottom,180
D164,153.50mm,-78.20mm,Bottom,180
D165,153.50mm,-83.20mm,Bottom,180
D166,153.50mm,-88.20mm,Bottom,180
D167,153.50mm,-93.20mm,Bottom,180
D168,153.50mm,-98.20mm,Bottom,180
D169,153.50mm,-103.20mm,Bottom,180
D170,153.50mm,-108.20mm,Bottom,180
D171,153.50mm,-113.20mm,Bottom,180
D172,153.50mm,-118.20mm,Bottom,180
D173,153.50mm,-123.20mm,Bottom,180
D174,153.50mm,-128.20mm,Bottom,180
D175,153.50mm,-133.20mm,Bottom,180
D176,153.50mm,-138.20mm,Bottom,180
D177,158.50mm,-63.20mm,Bottom,180
D178,158.50mm,-68.20mm,Bottom,180
D179,158.50mm,-73.20mm,Bottom,180
D180,158.50mm,-78.20mm,Bottom,180
D181,158.50mm,-83.20mm,Bottom,180
D182,158.50mm,-88.20mm,Bottom,180
D183,158.50mm,-93.20mm,Bottom,180
D184,158.50mm,-98.20mm,Bottom,180
D185,158.50mm,-103.20mm,Bottom,180
D186,158.50mm,-108.20mm,Bottom,180
D187,158.50mm,-113.20mm,Bottom,180
D188,158.50mm,-118.20mm,Bottom,180
D189,158.50mm,-123.20mm,Bottom,180
D190,158.50mm,-128.20mm,Bottom,180
D191,158.50mm,-133.20mm,Bottom,180
D192,158.50mm,-138.20mm,Bottom,180
D193,163.50mm,-63.20mm,Bottom,180
D194,163.50mm,-68.20mm,Bottom,180
D195,163.50mm,-73.20mm,Bottom,180
D196,163.50mm,-78.20mm,Bottom,180
D197,163.50mm,-83.20mm,Bottom,180
D198,163.50mm,-88.20mm,Bottom,180
D199,163.50mm,-93.20mm,Bottom,180
D200,163.50mm,-98.20mm,Bottom,180
D201,163.50mm,-103.20mm,Bottom,180
D202,163.50mm,-108.20mm,Bottom,180
D203,163.50mm,-113.20mm,Bottom,180
D204,163.50mm,-118.20mm,Bottom,180
D205,163.50mm,-123.20mm,Bottom,180
D206,163.50mm,-128.20mm,Bottom,180
D207,163.50mm,-133.20mm,Bottom,180
D208,163.50mm,-138.20mm,Bottom,180
D209,168.50mm,-63.20mm,Bottom,180
D210,168.50mm,-68.20mm,Bottom,180
D211,168.50mm,-73.20mm,Bottom,180
D212,168.50mm,-78.20mm,Bottom,180
D213,168.50mm,-83.20mm,Bottom,180
D214,168.50mm,-88.20mm,Bottom,180
D215,168.50mm,-93.20mm,Bottom,180
D216,168.50mm,-98.20mm,Bottom,180
D217,168.50mm,-103.20mm,Bottom,180
D218,168.50mm,-108.20mm,Bottom,180
D219,168.50mm,-113.20mm,Bottom,180
D220,168.50mm,-118.20mm,Bottom,180
D221,168.50mm,-123.20mm,Bottom,180
D222,168.50mm,-128.20mm,Bottom,180
D223,168.50mm,-133.20mm,Bottom,180
D224,168.50mm,-138.20mm,Bottom,180
D225,173.50mm,-63.20mm,Bottom,180
D226,173.50mm,-68.20mm,Bottom,180
D227,173.50mm,-73.20mm,Bottom,180
D228,173.50mm,-78.20mm,Bottom,180
D229,173.50mm,-83.20mm,Bottom,180
D230,173.50mm,-88.20mm,Bottom,180
D231,173.50mm,-93.20mm,Bottom,180
D232,173.50mm,-98.20mm,Bottom,180
D233,173.50mm,-103.20mm,Bottom,180
D234,173.50mm,-108.20mm,Bottom,180
D235,173.50mm,-113.20mm,Bottom,180
D236,173.50mm,-118.20mm,Bottom,180
D237,173.50mm,-123.20mm,Bottom,180
D238,173.50mm,-128.20mm,Bottom,180
D239,173.50mm,-133.20mm,Bottom,180
D240,173.50mm,-138.20mm,Bottom,180
D241,178.50mm,-63.20mm,Bottom,180
D242,178.50mm,-68.20mm,Bottom,180
D243,178.50mm,-73.20mm,Bottom,180
D244,178.50mm,-78.20mm,Bottom,180
D245,178.50mm,-83.20mm,Bottom,180
D246,178.50mm,-88.20mm,Bottom,180
D247,178.50mm,-93.20mm,Bottom,180
D248,178.50mm,-98.20mm,Bottom,180
D249,178.50mm,-103.20mm,Bottom,180
D250,178.50mm,-108.20mm,Bottom,180
D251,178.50mm,-113.20mm,Bottom,180
D252,178.50mm,-118.20mm,Bottom,180
D253,178.50mm,-123.20mm,Bottom,180
D254,178.50mm,-128.20mm,Bottom,180
D255,178.50mm,-133.20mm,Bottom,180
D256,178.50mm,-138.20mm,Bottom,180
